Dataset,Combination,Classifier,Accuracy,Precision,Recall,F1-Score,Embedding_Dim
dataset_sem_stopwords_lemmatizado,titulo,SVM,0.8916421671566569,0.8922295013208567,0.8916421671566569,0.8916025879558074,1024
dataset_sem_stopwords_lemmatizado,titulo,RandomForest,0.8488030239395212,0.8488378268964688,0.8488030239395212,0.8487988632830473,1024
dataset_sem_stopwords_lemmatizado,titulo,LogisticRegression,0.879042419151617,0.8794725061189481,0.879042419151617,0.8790091259597199,1024
dataset_sem_stopwords_lemmatizado,texto,SVM,0.9067618647627047,0.9067629469800471,0.9067618647627047,0.9067617660832531,1024
dataset_sem_stopwords_lemmatizado,texto,RandomForest,0.8404031919361613,0.8408250403622869,0.8404031919361613,0.8403523332865293,1024
dataset_sem_stopwords_lemmatizado,texto,LogisticRegression,0.8954220915581689,0.8954224074505025,0.8954220915581689,0.8954220915581689,1024
dataset_sem_stopwords_lemmatizado,subtitulo,SVM,0.8479630407391853,0.868971731071782,0.8479630407391853,0.8457767181278983,1024
dataset_sem_stopwords_lemmatizado,subtitulo,RandomForest,0.8177236455270894,0.8237278546302036,0.8177236455270894,0.8168811983022041,1024
dataset_sem_stopwords_lemmatizado,subtitulo,LogisticRegression,0.8437631247375053,0.863003344988788,0.8437631247375053,0.8416741882813834,1024
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,SVM,0.9143217135657287,0.9155244687908406,0.9143217135657287,0.914260735076226,1024
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,RandomForest,0.8559428811423772,0.8559846690481969,0.8559428811423772,0.8559382562424824,1024
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,LogisticRegression,0.8992020159596809,0.8996546016823936,0.8992020159596809,0.8991742716331,1024
dataset_sem_stopwords_lemmatizado,completo,SVM,0.9298614027719445,0.9298760917531892,0.9298614027719445,0.9298607099347177,1024
dataset_sem_stopwords_lemmatizado,completo,RandomForest,0.8630827383452331,0.8637742847313096,0.8630827383452331,0.8630161445344144,1024
dataset_sem_stopwords_lemmatizado,completo,LogisticRegression,0.9185216295674087,0.9185791138949005,0.9185216295674087,0.9185186112835911,1024
dataset_sem_caracteres_especiais_lemmatizado,titulo,SVM,0.9134817303653927,0.9141564408990145,0.9134817303653927,0.9134472876497503,1024
dataset_sem_caracteres_especiais_lemmatizado,titulo,RandomForest,0.8513229735405292,0.8515159562292016,0.8513229735405292,0.8513016752113091,1024
dataset_sem_caracteres_especiais_lemmatizado,titulo,LogisticRegression,0.9008819823603528,0.9012501434681376,0.9008819823603528,0.9008599481132783,1024
dataset_sem_caracteres_especiais_lemmatizado,texto,SVM,0.9071818563628727,0.9071821764038863,0.9071818563628727,0.9071818563628727,1024
dataset_sem_caracteres_especiais_lemmatizado,texto,RandomForest,0.8395632087358252,0.8401134117482095,0.8395632087358252,0.8394966191267623,1024
dataset_sem_caracteres_especiais_lemmatizado,texto,LogisticRegression,0.8899622007559849,0.8899723391586951,0.8899622007559849,0.8899616184566757,1024
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,SVM,0.8471230575388492,0.8677696783451332,0.8471230575388492,0.8449560018566721,1024
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,RandomForest,0.8185636287274255,0.8244333300638654,0.8185636287274255,0.8177457975040163,1024
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,LogisticRegression,0.8441831163376733,0.8624241142181588,0.8441831163376733,0.8422064057010783,1024
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,SVM,0.9260814783704326,0.9262022847565576,0.9260814783704326,0.9260765233467557,1024
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,RandomForest,0.8609827803443931,0.861039361619881,0.8609827803443931,0.8609768948810247,1024
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,LogisticRegression,0.9109617807643847,0.9111296187445554,0.9109617807643847,0.9109531104014086,1024
dataset_sem_caracteres_especiais_lemmatizado,completo,SVM,0.9319613607727846,0.9320390152551158,0.9319613607727846,0.931958096188601,1024
dataset_sem_caracteres_especiais_lemmatizado,completo,RandomForest,0.862662746745065,0.8628766719789932,0.862662746745065,0.8626416673681042,1024
dataset_sem_caracteres_especiais_lemmatizado,completo,LogisticRegression,0.9181016379672406,0.9181511238479662,0.9181016379672406,0.9180990086509738,1024
