Dataset,Combination,Classifier,Accuracy,Precision,Recall,F1-Score,Embedding_Dim
dataset_sem_stopwords_lemmatizado,titulo,SVM,0.870222595548089,0.8702673416142878,0.870222595548089,0.8702190243336978,768
dataset_sem_stopwords_lemmatizado,titulo,RandomForest,0.8206635867282654,0.8206751162511127,0.8206635867282654,0.820662258105355,768
dataset_sem_stopwords_lemmatizado,titulo,LogisticRegression,0.870642587148257,0.8706517281460913,0.870642587148257,0.8706416287951075,768
dataset_sem_stopwords_lemmatizado,texto,SVM,0.9307013859722806,0.9307016654158933,0.9307013859722806,0.9307013615246902,768
dataset_sem_stopwords_lemmatizado,texto,RandomForest,0.8887022259554809,0.8889998321087013,0.8887022259554809,0.8886801941996025,768
dataset_sem_stopwords_lemmatizado,texto,LogisticRegression,0.9277614447711046,0.9277661719621169,0.9277614447711046,0.9277611899225519,768
dataset_sem_stopwords_lemmatizado,subtitulo,SVM,0.8345233095338094,0.8547226110196186,0.8345233095338094,0.8321437208353368,768
dataset_sem_stopwords_lemmatizado,subtitulo,RandomForest,0.8328433431331373,0.8439687280579244,0.8328433431331373,0.8314885037768267,768
dataset_sem_stopwords_lemmatizado,subtitulo,LogisticRegression,0.8404031919361613,0.8600482106351199,0.8404031919361613,0.8382055949333254,768
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,SVM,0.8971020579588408,0.8972781550658295,0.8971020579588408,0.8970911665696801,768
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,RandomForest,0.8735825283494331,0.8742186473020814,0.8735825283494331,0.873530059424715,768
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,LogisticRegression,0.9071818563628727,0.9074591449372402,0.9071818563628727,0.9071666275522052,768
dataset_sem_stopwords_lemmatizado,completo,SVM,0.9466610667786645,0.9466613631133545,0.9466610667786645,0.9466610479614281,768
dataset_sem_stopwords_lemmatizado,completo,RandomForest,0.8912221755564889,0.8915990219426225,0.8912221755564889,0.8911951908603285,768
dataset_sem_stopwords_lemmatizado,completo,LogisticRegression,0.9466610667786645,0.9466763780864694,0.9466610667786645,0.9466605398904738,768
dataset_sem_caracteres_especiais_lemmatizado,titulo,SVM,0.9281814363712726,0.9281888626653191,0.9281814363712726,0.9281810563202226,768
dataset_sem_caracteres_especiais_lemmatizado,titulo,RandomForest,0.8887022259554809,0.8893108343038605,0.8887022259554809,0.8886597654160844,768
dataset_sem_caracteres_especiais_lemmatizado,titulo,LogisticRegression,0.9332213355732886,0.9332290951956966,0.9332213355732886,0.933221099986919,768
dataset_sem_caracteres_especiais_lemmatizado,texto,SVM,0.9290214195716086,0.9290722577992769,0.9290214195716086,0.929019140830844,768
dataset_sem_caracteres_especiais_lemmatizado,texto,RandomForest,0.877782444351113,0.8783210599407801,0.877782444351113,0.8777378019774962,768
dataset_sem_caracteres_especiais_lemmatizado,texto,LogisticRegression,0.9336413271734565,0.933685110047254,0.9336413271734565,0.9336395011075597,768
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,SVM,0.8458630827383452,0.8641928733771989,0.8458630827383452,0.8439076843458106,768
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,RandomForest,0.8391432171356573,0.8510327322565343,0.8391432171356573,0.8377771338173091,768
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,LogisticRegression,0.8492230155396892,0.8677303916952797,0.8492230155396892,0.8473102416352754,768
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,SVM,0.9382612347753045,0.938298414854166,0.9382612347753045,0.9382597972214906,768
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,RandomForest,0.9113817723645528,0.9119204928227114,0.9113817723645528,0.9113535328536962,768
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,LogisticRegression,0.9428811423771525,0.9428824326183929,0.9428811423771525,0.9428811222264218,768
dataset_sem_caracteres_especiais_lemmatizado,completo,SVM,0.9622007559848803,0.962212416491357,0.9622007559848803,0.9622004759466223,768
dataset_sem_caracteres_especiais_lemmatizado,completo,RandomForest,0.9042419151616967,0.9048448100634519,0.9042419151616967,0.9042053824754449,768
dataset_sem_caracteres_especiais_lemmatizado,completo,LogisticRegression,0.9672406551868963,0.9673051186279179,0.9672406551868963,0.9672394416501037,768
